Date,Temperature,NOx,Wind Direction,Wind Speed,PM2.5
1/16/19 7:00,17.4,16.3,14,2.8,20
1/16/19 8:00,17.7,23.1,8,3.1,27
1/16/19 9:00,18.1,23.7,9,2.6,30
1/16/19 10:00,18.4,22.1,359,2.3,27
1/16/19 11:00,19.3,21.1,356,3.3,22
1/16/19 12:00,20.3,17.6,7,2.4,19
1/16/19 13:00,20.6,19.4,1,2.7,21
1/16/19 14:00,20.2,17.9,8,3.6,22
1/16/19 15:00,19.7,19.2,357,4.5,28
1/16/19 16:00,18.7,20.5,18,3.5,31
1/16/19 17:00,18.1,25.8,24,2.8,32
1/16/19 18:00,18,26.2,19,3.6,27
1/16/19 19:00,17.9,24.1,23,2.4,26
1/16/19 20:00,18.1,23.1,17,3.2,31
1/16/19 21:00,17.6,17.6,22,2.2,28
1/16/19 22:00,17.6,16.6,0,3.5,26
1/16/19 23:00,17.5,14.6,17,3.4,16
1/17/19 0:00,17.6,11.9,11,3.3,22
1/17/19 1:00,17.4,13.4,23,2.8,20
1/17/19 2:00,17.1,11.4,36,3.3,21
1/17/19 3:00,17,11.1,3,4.3,11
1/17/19 4:00,16.7,9.5,353,3.2,6
1/17/19 5:00,16.1,9.3,22,2.9,10
1/17/19 6:00,15.9,13.3,20,2.6,17
1/17/19 7:00,16,21.1,16,3.2,23
1/17/19 8:00,16.2,20.2,21,3.5,16
1/17/19 9:00,17,21.2,17,4.2,24
1/17/19 10:00,18.4,19.3,1,3.8,20
1/17/19 11:00,19.8,18.3,14,4.1,25
1/17/19 12:00,20.2,16.6,354,4.4,19
1/17/19 13:00,21.1,17.4,14,3.8,33
1/17/19 14:00,21.5,16.2,13,4.1,30
1/17/19 15:00,21.2,17.3,10,4,28
1/17/19 16:00,20.4,20.9,7,3.8,31
1/17/19 17:00,18.4,20.9,10,3.2,35
1/17/19 18:00,17.3,22,13,3.5,38
1/17/19 19:00,16.7,21,7,3.2,30
1/17/19 20:00,16.3,19.2,7,3.2,27
1/17/19 21:00,15.9,18.4,12,3,32
1/17/19 22:00,15.5,16.9,12,2.8,38
1/17/19 23:00,15.3,15.2,2,2,41
1/18/19 0:00,15.4,15.1,2,2.5,34
1/18/19 1:00,15.4,14.2,7,2.1,27
1/18/19 2:00,15.4,13.4,7,2.2,31
1/18/19 3:00,15.3,12.3,13,1.8,37
1/18/19 4:00,15.2,13.5,331,1.1,36
1/18/19 5:00,15,14.4,342,1.5,38
1/18/19 6:00,15,14.8,338,1.4,35
1/18/19 7:00,15.1,20.5,28,1.1,45
1/18/19 8:00,16.1,32.8,40,1.1,44
1/18/19 9:00,18.2,33.1,268,1.4,51
1/18/19 10:00,19.8,29,344,1.6,49
1/18/19 11:00,21.2,16,312,2.1,49
1/18/19 12:00,22,12.8,295#                           ,1.6#                           ,1#                             
1/18/19 13:00,22.9,14.3,299,2.5,34
1/18/19 14:00,23,16.8,301,2.5,24
1/18/19 15:00,22.7,15.3,302,2.5,23
1/18/19 16:00,21.4,17.5,340,2.9,20
1/18/19 17:00,19.6,16.2,340,2.2,27
1/18/19 18:00,18.4,16,353,2.2,27
1/18/19 19:00,17.9,20.1,21,1.9,37
1/18/19 20:00,17.7,23.1,13,1.8,33
1/18/19 21:00,17.2,20.1,0,2.5,37
1/18/19 22:00,16.7,16.3,9,2.1,33
1/18/19 23:00,16.6,16.1,29,2.2,40
1/19/19 0:00,16.5,19.4,30,1.7,46
